review_description,rating,developer_response,review_description_after_removing_stop_words
i do a puzzle then it take me back to my main screenits very frustrating a you have to restart the game each time i have plenty of memory and no other appsopen and i play one game then it take me back to my main screen and start again,1,"Hi! Please write us to e-mail playflock@gmail.com
",puzzle take back main screenits frustrating restart game time plenty memory appsopen play one game take back main screen start
great game though the ad that automatically play once complete a level and cant exit until ad completely played is an unwanted addition,2,Hi! Thanks for the feedback! We will pass on the information to our game designers.,great game though ad automatically play complete level cant exit ad completely played unwanted addition
i love it  hugging face ,4,,love  hugging face 
nice game is may baby so happy to me i like kite,1,"Hi! Thank you for the kind words, glad you liked the game. But why did you rate it only 1 star? Maybe there is something we can improve?",nice game may baby happy like kite
this game is fun but when there wa an accidental purchase the developer did not answer the emailed i sent to have it resolved so i deleted the game i would have gave more star if the developer had answered,3,Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!,game fun wa accidental purchase developer answer emailed sent resolved deleted game would gave star developer answered
im enjoying this game so far  red heart ,5,,im enjoying game far  red heart 
i made it to level  before i deleted the app these game progressively get more difficult then they lose the fun it wa a great game very cute i enjoyed the story a well thank you for the free play xoxo,4,,made level  deleted app game progressively get difficult lose fun wa great game cute enjoyed story well thank free play xoxo
freeze constantly often doesnt give you the power up for matching the proper pattern will sometimes tell you they cant run the ad thats supposed to give you a bonus need i say more,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,freeze constantly often doesnt give power matching proper pattern sometimes tell cant run ad thats supposed give bonus need say
the best puzzle game that i played so far and perfectly fine and smooth gameplay and i loved it more power to the creator of the game,5,,best puzzle game played far perfectly fine smooth gameplay loved power creator game
i am recommending everyone to avoid downloading this garbage who are thinking about downloading it the main motive of writing this review is keeping everyone far from this game so that nobody waste their valuable time on playing such a disgasting game which doesnt even deserve being searched on play store the most terrifying fact about this game is that it a pay to win game mean this game is so tough that after some time it wont be even playable unless we waste our valuable money,1,Hi! Could you possible specify which levels made you get stuck? Maybe there are issues that need to be dealt with which we don't know about.,recommending everyone avoid downloading garbage thinking downloading main motive writing review keeping everyone far game nobody waste valuable time playing disgasting game doesnt even deserve searched play store terrifying fact game pay win game mean game tough time wont even playable unless waste valuable money
great game love it,5,,great game love
hi the game will open now i switched my phone off and it worked it fun upto level  the level naturally get harder it take  key for one item needed great communication with the developer to find  case you need  key play  level you dont need money to play the game but you can buy extra for special offer good luck,4,Hi! Thanks for the feedback! We will pass on the information to our game designers.,hi game open switched phone worked fun upto level  level naturally get harder take  key one item needed great communication developer find  case need  key play  level dont need money play game buy extra special offer good luck
can i have red cross you u want me i wa,5,,red cross u want wa
very very nice game  smiling face with heart  clapping hand ,5,,nice game  smiling face heart  clapping hand 
be better if bulit right too many game top topp to bottom u know the clean life clean person,5,,better bulit right many game top topp bottom u know clean life clean person
i really like this game however it been not loading recently,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,really like game however loading recently
i really really like,5,,really really like
awesume game i love it i use to play it on my tablet keep up the good work,5,,awesume game love use play tablet keep good work
i wa happy but now i cant get passed  it say i have no connection but all my other game connect fix please,3,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,wa happy cant get passed  say connection game connect fix please
good time passing game,4,,good time passing game
it keep kicking me out after doing one level,2,Hi! Could you possible specify which levels made you get stuck?,keep kicking one level
overall a nice game just that there are ad if you connect in the net good thing it is an option to choose between no ad or watch ad to get a powerup for free,5,,overall nice game ad connect net good thing option choose ad watch ad get powerup free
it a really fun game and i enjoy it,5,,really fun game enjoy
fun game absolutely love it,5,,fun game absolutely love
an epic game i really recommend it it fun you cant get bored with it,5,,epic game really recommend fun cant get bored
fun so far some are harder than they look,5,,fun far harder look
hope it super amazing  crossed finger  light skin tone  crossed finger  light skin tone  crossed finger  light skin tone  beaming face with smiling eye ,4,,hope super amazing  crossed finger  light skin tone  crossed finger  light skin tone  crossed finger  light skin tone  beaming face smiling eye 
after  level is hard i played like  game than i passed how can i got crazy becoz of this game,1,Hi! Could you possible specify which levels made you get stuck? Maybe there are issues that need to be dealt with which we don't know about., level hard played like  game passed got crazy becoz game
nice game so i give  star,5,,nice game give  star
im enjoying so much,5,,im enjoying much
this game is awesome i like on how the way the story wa unfolding slowly a the story go by i like the way the you can change the clothes of the character in the story,5,,game awesome like way story wa unfolding slowly story go like way change clothes character story
app will not load anymore it only load to about and then the app close by itself i cant even get into the game i have uninstall it and download it again and it is still doing the same way,1,Hi! Please write us to e-mail playflock@gmail.com,app load anymore load and app close cant even get game uninstall download still way
this game make me very smart  starstruck  red heart ,5,,game make smart  starstruck  red heart 
the game is ok but it take time because you gots to be playing candy crush to win key to decorate the place which some of the level is every hard to win,3,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game ok take time gots playing candy crush win key decorate place level every hard win
this is the best game but the add are not good for me and buying thing because my kid are telling me yo bye them thing and i have to mean kid my kid muna and rose play this game and they want me to buy them thing and i gave them a lot of pet so to me it is like a  star for me,5,,best game add good buying thing kid telling yo bye thing mean kid kid muna rose play game want buy thing gave lot pet like  star
love it love it love it,5,,love love love
i need a redeem code wt to do,4,,need redeem code wt
i like the game but there something bothering in me cause the every level of this game is so hard to complete and the conversation is so long can u please take it easy of the level on this game i really like it but it is so hard  pleading face  pensive face  pensive face  im in  level and i cant beat the game level,3,"Hello! At this level, try to make more difficult combinations to create useful boosters. You will definitely succeed!",like game something bothering cause every level game hard complete conversation long u please take easy level game really like hard  pleading face  pensive face  pensive face  im  level cant beat game level
if you like match  game this is one of the better one the decoration are nice the story is entertaining enough and the gameplay is fun,5,,like match  game one better one decoration nice story entertaining enough gameplay fun
nice it is good game,5,,nice good game
love the game lost my game and nou to start over,5,,love game lost game nou start
i didnt liked it because it is so boring playing  match game we have to earn the key then we need do decoration my hardest part wa playing  match game,2,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,didnt liked boring playing  match game earn key need decoration hardest part wa playing  match game
i like this game but not very much i start playing it when im years old and know imyears old,5,,like game much start playing im years old know imyears old
ad suck ballz other than that not bad,5,,ad suck ballz bad
i love this game so much  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  i enjoy playing this game it so much fun,5,,love game much  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  enjoy playing game much fun
usually enjoy the game but lately it wont load,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,usually enjoy game lately wont load
the game can be very challenging sometimes but i really like it and it such a fun game to play,5,,game challenging sometimes really like fun game play
copy of project makeover game and with poor quality,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,copy project makeover game poor quality
i ve just started playing and i love this it so awesome but when play the puzzle game they give you very little move mostly on hard level,5,,started playing love awesome play puzzle game give little move mostly hard level
at what level the adventure will be available,5,,level adventure available
too good to look perfect,5,,good look perfect
very addicting game love the graphic,5,,addicting game love graphic
enjoyable stress relief,4,,enjoyable stress relief
it wa nice i love it,4,,wa nice love
i love it and it is the best game i have played so far,3,Hi! What did you dislike about the game? You gave us 3 stars. Please write your opinion. It's very important for us.,love best game played far
jdsjjsjsikl kwik i love the way you could send u army of two city and county and me are the same thanks bii to tv video is forbidden to the right one back in touch and go over the next week or so to,1,Hi! Please write more information about your problem. We really want to help you.,jdsjjsjsikl kwik love way could send u army two city county thanks bii tv video forbidden right one back touch go next week
game is like a goat  goat  no one will play thish kind of game,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game like goat  goat  one play thish kind game
wa loving the game but recently it been crashing all the time and is getting quite frustrating i dont want to lose my progress is there an update coming soon to fix this,2,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,wa loving game recently crashing time getting quite frustrating dont want lose progress update coming soon fix
so far i am enjoying the game there not too many ad and the storyline is cute,4,,far enjoying game many ad storyline cute
this game is very fun love the restoring,5,,game fun love restoring
this game is very bad i hate the graphic it is very poor the picture are lie you always have to play a stupid game before you can earn key to do task this game annoys me so much that i deleted it,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game bad hate graphic poor picture lie always play stupid game earn key task game annoys much deleted
i like sims game but it take long to load by the time it start loading i have to charge my phone again not so cool hey,1,Hi! Thanks for the feedback! We will pass on the information to our game designers.,like sims game take long load time start loading charge phone cool hey
it a really good game people should try it,5,,really good game people try
not too many lame action,5,,many lame action
i really love this game,5,,really love game
the game load to  then exit,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,game load  exit
update game will not open been trying all day sent message to the developer via their email contacthours agostill no response there no use for me to have a game installed on my phone if i am unable to play it or get a response from the developer,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,update game open trying day sent message developer via email contacthours agostill response use game installed phone unable play get response developer
the game wa lit but every action need to complete the puzzle it making me bored please limit the puzzle,3,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game wa lit every action need complete puzzle making bored please limit puzzle
i love the story it been better then any other game i have played it quite entertaining and very enjoyable to play it great to pas the time but for me a bit addictive,5,,love story better game played quite entertaining enjoyable play great pas time bit addictive
family hotel renov,5,,family hotel renov
very fun game hour of fun,5,,fun game hour fun
nice game please try one time,5,,nice game please try one time
it going back to play store after it reach  something,1,Hi! Please write us to e-mail playflock@gmail.com,going back play store reach  something
it a good game  winking face  thumbs up ,5,,good game  winking face  thumbs 
this game wa amazing i  red heart  this game,1,"Hi! Thank you for the kind words, glad you liked the game. But why did you rate it only 1 star? Maybe there is something we can improve?",game wa amazing  red heart  game
i heat this game very boring  tired face  sleeping face ,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,heat game boring  tired face  sleeping face 
fun a can be come on and try it out please let team up,5,,fun come try please let team
this game is the bomb and i so love it very much,5,,game bomb love much
good game ha,5,,good game ha
very good and nice game,5,,good nice game
useless oz everytime it about to load it doesnt let me play,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,useless oz everytime load doesnt let play
so far so good ive only been playing for a week though this game is different from the one i have played previously played in the past the more i play the more challenging the puzzle are getting i also like the side event this game provides they are more of a challenge than the regular puzzle i enjoy the decoration that i can spruce up each room other game require more star for decoration so i like i only need  star in this game i look forward to playing this l family hotel,5,,far good ive playing week though game different one played previously played past play challenging puzzle getting also like side event game provides challenge regular puzzle enjoy decoration spruce room game require star decoration like need  star game look forward playing l family hotel
it the best game i have ever played,5,,best game ever played
i really think that this game is so fun,5,,really think game fun
nice but very time taken,1,"Hi! Thank you for the kind words, glad you liked the game. But why did you rate it only 1 star? Maybe there is something we can improve?",nice time taken
i love this game so much,5,,love game much
fun game had to delete after too many hard level,3,Hi! Could you possible specify which levels made you get stuck? Maybe there are issues that need to be dealt with which we don't know about.,fun game delete many hard level
it nice but some of the thing we need to buy in money  money bag  but it really cool to play,4,,nice thing need buy money  money bag  really cool play
game not working properly,1,Hi! Please write more information about your problem. We really want to help you.,game working properly
funny without being stressful,5,,funny without stressful
really and good game,5,,really good game
the game is fine but it bore me,3,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game fine bore
love this  face blowing a kiss  best game ever,5,,love  face blowing kiss  best game ever
this game look really great,5,,game look really great
it must make fast,5,,must make fast
amazing game  smiling face with smiling eye  smiling face with smiling eye ,5,,amazing game  smiling face smiling eye  smiling face smiling eye 
only had it a few day but so far ok,5,,day far ok
this game suck please dont install,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game suck please dont install
scam not what i expected the game turned out to be very different and disappointing plus too many ad,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,scam expected game turned different disappointing plus many ad
please add some more choice,5,,please add choice
net have slow so downlonding late,1,Hi! Thanks for the feedback! We will pass on the information to our game designers.,net slow downlonding late
nice  thumb up  game,5,,nice  thumb  game
colorful decorative game,5,,colorful decorative game
nice but sometimes i get crashed,5,,nice sometimes get crashed
love the game until all the crash started happening i uninstalled the game reinstalled game now i cant get back to the level i wa on i also paid for the plane reward and now cant claim them because i cant get into the game nor the level i wa at i wa near level  it now gone i have emailed and the game is still messed up,1,Hi! Please write us to e-mail playflock@gmail.com,love game crash started happening uninstalled game reinstalled game cant get back level wa also paid plane reward cant claim cant get game level wa wa near level  gone emailed game still messed
just installed this had  go and had to watch  advertisement way too many so uninstalled didnt see it getting any better,2,Hi! Thanks for the feedback! We will pass on the information to our game designers.,installed  go watch  advertisement way many uninstalled didnt see getting better
i love this game because it is so amazing to play,5,,love game amazing play
now i am downloading this app and i hope i will joy it,3,Have a great time playing Mss Diamond! :),downloading app hope joy
the game only had  life and it is super hard so my life didnt last more than five minute,1,"Hi there!
Could you please specify the level you got stuck on? Maybe there is a technical issue that needs to be fixed.
Thank you",game  life super hard life didnt last five minute
i have just downloaded the game but not sure i am going to continue a game shuts down after every level played very irritating,2,Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!,downloaded game sure going continue game shuts every level played irritating
at first this game wa well balanced and fun i downloaded and played for next  hr then it got ridiculous rocket would go completely thru a line or column or stop at first obstacle making it impossible to work out move combining boost should make them more powerful not make one of them disappear really thought this game would be the one and spent money on offer which i never do til i have played more after buying offer game totally redid my guest room now i hate the way it look,2,Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!,first game wa well balanced fun downloaded played next  hr got ridiculous rocket would go completely thru line column stop first obstacle making impossible work move combining boost make powerful make one disappear really thought game would one spent money offer never til played buying offer game totally redid guest room hate way look
really great app,5,,really great app
great story line,5,,great story line
good family game  bullseye ,4,,good family game  bullseye 
i really like the game and im currently in the level  however every time i try to open this level anything happens and the option of what i need to collect per level caramel chocolateect are clear a well im not sure if it just a kind of error in my phone or something else,4,,really like game im currently level  however every time try open level anything happens option need collect per level caramel chocolateect clear well im sure kind error phone something else
fun game i like the puzzle because it take some strategy to get each one solved there only so many move you can make and it seems rather thrilling to be under that restriction while trying to complete the level id recommend to all age,5,,fun game like puzzle take strategy get one solved many move make seems rather thrilling restriction trying complete level id recommend age
bad game i hate you,1,Hi! Please write more information about your problem. We really want to help you.,bad game hate
your app started freezing for more reason  litter in bin sign  l would have rated it a zero star,1,Hi! Please write more information about your problem. We really want to help you.,app started freezing reason  litter bin sign  l would rated zero star
this game is bad all the power ups feel pretty unsatisfying many level are ridiculous with low amount of move and few tile free which force you to use powerups and then a bunch of stuff take away from the effectiveness of powerups to the point that the usual  line clear is useless the best power up you get is the bomb combining  item boring add to that a boring and problematic story the hero throw tantrum kick stuff out of anger not good for small child in my opinion,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,game bad power ups feel pretty unsatisfying many level ridiculous low amount move tile free force use powerups bunch stuff take away effectiveness powerups point usual  line clear useless best power get bomb combining  item boring add boring problematic story hero throw tantrum kick stuff anger good small child opinion
i hate when this pop up to rate it a typical match three game,3,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,hate pop rate typical match three game
fun and challenging relaxing,5,,fun challenging relaxing
they promised me a item for  star,5,,promised item  star
game is fun but it freeze after i complete each level i have to close the game out every time and reload get kinda boring rather quickly,3,"Hi! Please free more disk space in Your device and shut down other applications before launching the game. Also we recommend to delete performance-boosting apps from your mobile device.
",game fun freeze complete level close game every time reload get kinda boring rather quickly
it very good game i am enjoying the game,5,,good game enjoying game
awesome game very addictive,5,,awesome game addictive
nhndbnnkjjjhj just xjjjjdkikaehjk skiing me urgently need anything from walmart or call when you get here or i could it be the one that is a lot  winking face  beaming face with smiling eye  winking face  beaming face with smiling eye  winking face  winking face  winking face  winking face  hujdh me to do anything else to do but me to do it on a different day or i could just get a new car  grimacing face  beaming face with smiling eye  winking face  y  smiling face with smiling eye  smiling face with smiling eye  beaming face with smiling eye  face with tear of joy  smiling face with smiling eye  beaming face with smiling eye  winking face  ubdjj a different day and night me and my wife are a lot  winking face  beaming face with smiling eye  winking face  winking face  winking face  hujdh me urgently and i could it be that way we can get it in  winking face  winking face  winking face  winking face  winking face  winking face  smiling face with smiling eye  winking face  winking face  winking face  hujdh me urgently need a different day and i hope that you ge,5,,nhndbnnkjjjhj xjjjjdkikaehjk skiing urgently need anything walmart call get could one lot  winking face  beaming face smiling eye  winking face  beaming face smiling eye  winking face  winking face  winking face  winking face  hujdh anything else different day could get new car  grimacing face  beaming face smiling eye  winking face   smiling face smiling eye  smiling face smiling eye  beaming face smiling eye  face tear joy  smiling face smiling eye  beaming face smiling eye  winking face  ubdjj different day night wife lot  winking face  beaming face smiling eye  winking face  winking face  winking face  hujdh urgently could way get  winking face  winking face  winking face  winking face  winking face  winking face  smiling face smiling eye  winking face  winking face  winking face  hujdh urgently need different day hope ge
that game is full of option and question,5,,game full option question
love the game but when i open the internet it freeze please fix this,3,Hi! Please write us to e-mail playflock@gmail.com,love game open internet freeze please fix
it is a good game i liked this game but it ha many ad but it is good,5,,good game liked game ha many ad good
relaxing and not to many add,5,,relaxing many add
great game entertaining story line,5,,great game entertaining story line
seems ok so far,5,,seems ok far
i do love the game but now it wont load and keep closing itself before it even load half way i wrote an email and i have heard nothing back,1,Hi! Please write us to e-mail playflock@gmail.com,love game wont load keep closing even load half way wrote email heard nothing back
level  is to hard i give up,1,"Hello! At this level, try to make more difficult combinations to create useful boosters. You will definitely succeed!",level  hard give
i would give  star but too much add and now is not even letting me play all it doe is crash and crash,3,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,would give  star much add even letting play doe crash crash
the matching is too difficult and it doesnt have enough move the game need too many key for one task im thinking if i just uninstall this app and find something better,3,Hi! Thanks for the feedback! We will pass on the information to our game designers.,matching difficult doesnt enough move game need many key one task im thinking uninstall app find something better
to soon into the game to form an opinion,3,Hi! What did you dislike about the game? You gave us 3 stars. Please write your opinion. It's very important for us.,soon game form opinion
wa ok at first but keep stopping then turning itself offdont think it worth playing a it frustrating,2,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,wa ok first keep stopping turning offdont think worth playing frustrating
it fun and i get to decide stuff,5,,fun get decide stuff
i like playing this game the only thing i dislike is using star for other thing besides decorating,5,,like playing game thing dislike using star thing besides decorating
i like this game this fun who ever made this link give you  star wow wonderful praise manyere,5,,like game fun ever made link give  star wow wonderful praise manyere
really fun game it relaxing my mom love it so much if if didnt you life she would play for hour or probably day monthsyears  grinning squinting face  grinning face with sweat  face with tear of joy  face with tear of joy  rolling on the floor laughing  rolling on the floor laughing  i have no prob with it everyone should play,5,,really fun game relaxing mom love much didnt life would play hour probably day monthsyears  grinning squinting face  grinning face sweat  face tear joy  face tear joy  rolling floor laughing  rolling floor laughing  prob everyone play
pretty cool game,5,,pretty cool game
sow dont want to play this game so much mb for this game and photo wa very very nice thats why download this app for this is very bad now i will never download this app again  family  man  man  girl  girl  family  man  woman  boy  family  man  man  boy  family  man  woman  boy  boy  family  man  woman  girl ,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,sow dont want play game much mb game photo wa nice thats download app bad never download app  family  man  man  girl  girl  family  man  woman  boy  family  man  man  boy  family  man  woman  boy  boy  family  man  woman  girl 
love the game keep me quiet lol x,5,,love game keep quiet lol x
great game every  clapping hand  one should download it share this game with ur frnds because it lit  fire  dont forget to share  hugging face  hugging face  smiling face with heart  smiling face with heart  starstruck  starstruck ,5,,great game every  clapping hand  one download share game ur frnds lit  fire  dont forget share  hugging face  hugging face  smiling face heart  smiling face heart  starstruck  starstruck 
this game is very interesting even when i am unhappy i play this game and feel happy,4,,game interesting even unhappy play game feel happy
so far so fun just started this game,4,,far fun started game
excellent game i have been playing for a long time i am still playing the game i recommended it to my friend thanks,5,,excellent game playing long time still playing game recommended friend thanks
new update still suck after letting know developer i wa able for a day or two then again same issue game keep on loading,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,new update still suck letting know developer wa able day two issue game keep loading
i just downloaded this game and i couldnt even get past the loading screen it keep shutting down,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,downloaded game couldnt even get past loading screen keep shutting
cool game love it so much  smiling face with hearteyes  red heart ,5,,cool game love much  smiling face hearteyes  red heart 
i love this game is so amazing i like it  red heart  starstruck  red heart  starstruck  red heart  red heart  red heart  red heart  red heart  red heart  red heart  red heart ,5,,love game amazing like  red heart  starstruck  red heart  starstruck  red heart  red heart  red heart  red heart  red heart  red heart  red heart  red heart 
it really fun to play with it,5,,really fun play
great game ever when is the next level begin,4,,great game ever next level begin
fun to play but last few day ha a crush every time i try to get in game is not loading so cant play anymore,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,fun play last day ha crush every time try get game loading cant play anymore
i like this game send more like this gamethank you very much,5,,like game send like gamethank much
app keep shutting down never could even play,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,app keep shutting never could even play
very fun game no glitch just enough challenge,5,,fun game glitch enough challenge
i am really loving this game so far,5,,really loving game far
i have been hyped with this game the story is very beautiful and i have finished it well only where it stop i didnt expect it would stop in that part and i wa expecting emily to be pregnant and have a baby but yet it hasnt but anyways im looking forward to your update and imma give this  star for now,4,,hyped game story beautiful finished well stop didnt expect would stop part wa expecting emily pregnant baby yet hasnt anyways im looking forward update imma give  star
love this game  face blowing a kiss  face blowing a kiss  party popper  party popper  red heart ,4,,love game  face blowing kiss  face blowing kiss  party popper  party popper  red heart 
wonderful app amazing experience  smiling face with smiling eye  smiling face with smiling eye  smiling face with hearteyes  smiling face with hearteyes ,5,,wonderful app amazing experience  smiling face smiling eye  smiling face smiling eye  smiling face hearteyes  smiling face hearteyes 
so far i am loving this game,5,,far loving game
this a good game but i am having problem with the game the add are too much,3,Hi! Thanks for the feedback! We will pass on the information to our game designers.,good game problem game add much
i love it i use it every time,5,,love use every time
i love this game  smiling face with hearteyes  smiling face with hearteyes  but the only problem is ad if you remove the ad l will be happy,5,,love game  smiling face hearteyes  smiling face hearteyes  problem ad remove ad l happy
nice game i love it,5,,nice game love
i love this game but the add,5,,love game add
omg i love this game  smiling face with hearteyes  ok hand  ok hand ,5,,omg love game  smiling face hearteyes  ok hand  ok hand 
i wa quite good but one level wa too hard,4,,wa quite good one level wa hard
the game is amazing i have been terrible time i get angry because i love the game that is where i countiue the downloading it thank you very much,5,,game amazing terrible time get angry love game countiue downloading thank much
it a really great game,5,,really great game
wow this is so nice  sparkle  blue heart  growing heart ,5,,wow nice  sparkle  blue heart  growing heart 
a so nice game one who install this game he or she get entertained,5,,nice game one install game get entertained
have played many match  game but this one is awesome so glad i decided to download it and give it a try,5,,played many match  game one awesome glad decided download give try
i love designing stuff and room it so fun to play,5,,love designing stuff room fun play
i love the story but the puzzle get really hard if you dont have booster  okay thank you,3,"Hello! At this level, try to do more complex combinations to create useful boosters: bees, whirligig. You will definitely succeed!",love story puzzle get really hard dont booster  okay thank
edit still no response or care from this game developer at this point it been over  month and i wish we could give zero star very unhappy with this service and app edit they say to email them but i havent heard anything back please respond to all the people having this issue game suddenly started crashing when opening at about  and erased my saved data,1,Hi! Please write us to e-mail playflock@gmail.com,edit still response care game developer point  month wish could give zero star unhappy service app edit say email havent heard anything back please respond people issue game suddenly started crashing opening  erased saved data
the game is awesome it really fun and a stress free game i rated it  star because im stuck on one level and i cant get passed it,1,Hi! Could you possible specify which levels made you get stuck? Maybe there are issues that need to be dealt with which we don't know about.,game awesome really fun stress free game rated  star im stuck one level cant get passed
very fun and exciting game and you get several furniture and home decor option for each item game level arent super hard where you cant get past level for a long time so you can progress in a timely manner unlike some game definitely recommend this game,5,,fun exciting game get several furniture home decor option item game level arent super hard cant get past level long time progress timely manner unlike game definitely recommend game
the game doesnt even load after being download,1,Hi! Please write us to e-mail playflock@gmail.com,game doesnt even load download
buy anything only real money,1,"
Hi! Please write more information about your problem. We really want to help you.
",buy anything real money
this game is really cool the story is also amazing there is so much decoration and those are really beautiful  smiling face with hearteyes  red heart  this app is just really really really awesome  smiling face with sunglass ,5,,game really cool story also amazing much decoration really beautiful  smiling face hearteyes  red heart  app really really really awesome  smiling face sunglass 
refund pls u all of my data is gone  loudly cry face  loudly cry face  loudly cry face ,1,Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!,refund pls u data gone  loudly cry face  loudly cry face  loudly cry face 
i dont like this gamethis game so broring  face with steam from nose  pouting face ,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,dont like gamethis game broring  face steam nose  pouting face 
great dowloaded yesterday and already addicted,5,,great dowloaded yesterday already addicted
thoroughly enjoying the game up to now,5,,thoroughly enjoying game
i like this design very much,5,,like design much
it to boring  zippermouth face  zippermouth face  zippermouth face  zippermouth face ,1,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,boring  zippermouth face  zippermouth face  zippermouth face  zippermouth face 
this game is very good but i gave it  star only because,1,"Hi! Thank you for the kind words, glad you liked the game. But why did you rate it only 1 star? Maybe there is something we can improve?",game good gave  star
realy super game,5,,realy super game
okay this game is the best game i have ever played but i took out  star because of the add s plz do low the add and some time i cant even open the app so i took out  star except those this game is the best,2,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,okay game best game ever played took  star add plz low add time cant even open app took  star except game best
love being able to restore the old hotel quickly,5,,love able restore old hotel quickly
this is so beutiful game sorry for my bad spell,4,,beutiful game sorry bad spell
the game is amazing bygastygee,5,,game amazing bygastygee
i cant stop playing this game it so amazing and i adore it so bad i really love this one it soooo adorable thank u for creating this adorable game  blue heart  purple heart  cloud  sparkles ,5,,cant stop playing game amazing adore bad really love one soooo adorable thank u creating adorable game  blue heart  purple heart  cloud  sparkles 
it really hard to get key to renovate and unfortunately the key needed to renovate are just too much  angry face  pensive face  pensive face  angry face  angry face ,2,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,really hard get key renovate unfortunately key needed renovate much  angry face  pensive face  pensive face  angry face  angry face 
it a good game tho,1,"Hi! Thank you for the kind words, glad you liked the game. But why did you rate it only 1 star? Maybe there is something we can improve?",good game tho
it wa fun playing this game love it,5,,wa fun playing game love
i have lost  life because the game froze other than that i like the game,3,Hi! Please free more disk space in Your device and shut down other applications before launching the game. Also we recommend to delete performance-boosting apps from your mobile device.,lost  life game froze like game
havent played downloading it now let see for now it  star  kissing face  kissing face ,5,,havent played downloading let see  star  kissing face  kissing face 
i love this app  red heart  red heart ,5,,love app  red heart  red heart 
enjoyable game x,5,,enjoyable game x
great game i love it great game play great graphicsthank you,5,,great game love great game play great graphicsthank
i love this game not too hard very reasonable stage,5,,love game hard reasonable stage
okay game cant see why every task now have to cost  key to do it ridiculous thinking of uninstalling,2,Hi! Thanks for the feedback! We will pass on the information to our game designers.,okay game cant see every task cost  key ridiculous thinking uninstalling
i really really love this the game is the best one,5,,really really love game best one
i like the story it just that the gameplay is quite ordinary,4,,like story gameplay quite ordinary
this game is the best and amazing,5,,game best amazing
it fun that i really wan na know the story line,5,,fun really wan na know story line
i dont think it that good for my child to play with this game when this game is supposed to brainstorm my child brain but instead it a romantic story sure,2,Hi! We are sorry about this. We hope that you will give a chance to our game and change your mind about the game.,dont think good child play game game supposed brainstorm child brain instead romantic story sure
really fun and addicting game,5,,really fun addicting game
waaay to many ad love the game though very fun,4,,waaay many ad love game though fun
wont open and when it doe it wont stay open,1,Hey! Thank you for feedback. We are aware of the problem. We'll fix it in the next update.,wont open doe wont stay open
it time pas game i loved it,5,,time pas game loved
v good enjoined,5,,v good enjoined
your game suck in some level the make sure the only move available are move that wont lead to the target but it a really sweet game poor story tho,4,"Hello!
Thanks for your feedback!",game suck level make sure move available move wont lead target really sweet game poor story tho
wow  face blowing a kiss  lovely amezing i love the game keep it up,5,,wow  face blowing kiss  lovely amezing love game keep
